"actin3" "actinM" "actin5" "gapdh3" "gapdhM" "gapdh5" "rnapolII3"  "rnapolIIM"  "rnapolII5" "tatabp3" "tatabpM" "tatabp5"
"mgu74bv2cdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mgu74ccdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mgu74cv2cdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mouse4302cdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mouse430acdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mouse430a2cdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mouse430b2cdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mu11ksubacdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"mu11ksubbcdf" "AFFX-b-ActinMur/M12481_3_at" "AFFX-b-ActinMur/M12481_M_at" "AFFX-b-ActinMur/M12481_5_at" "AFFX-GapdhMur/M32599_3_at" "AFFX-GapdhMur/M32599_M_at" "AFFX-GapdhMur/M32599_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rae230acdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rae230bcdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rgu34acdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rgu34bcdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rgu34ccdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"ygs98cdf" "AFFX-YFL039C3_at" "AFFX-YFL039CM_at" "AFFX-YFL039C5_at" "NA" "NA" "NA" "AFFX-YER022w3_at" "AFFX-YER022wM_at" "AFFX-YER022w5_at" "AFFX-YER148w3_at" "AFFX-YER148wM_a" "AFFX-YER148w5_at"
"zebrafishcdf" "AFFX-Dr-acta1-3_at" "AFFX-Dr-acta1-M_at" "AFFX-Dr-acta1-5_at" "AFFX-GAPDH-3_at" "AFFX-GAPDH-M_at" "AFFX-GAPDH-5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"rat2302cdf" "AFFX_Rat_beta-actin_3_at" "AFFX_Rat_beta-actin_M_at" "AFFX_Rat_beta-actin_5_at" "AFFX_Rat_GAPDH_3_at" "AFFX_Rat_GAPDH_M_at" "AFFX_Rat_GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
